codigo	descriptor completo	descriptor corto		
8045/3	Carcinoma combinado de células pequeñas	"Ca. combinado, cél. pequeñas"		
8045/6	"Carcinoma combinado de células pequeñas, metástasis"	"Ca. combinado, cél. pequeñas, metástasis"		
8046/3	"Carcinoma, no de células pequeñas"	"Carcinoma, no, cél. pequeñas"		
8046/6	"Carcinoma, no de células pequeñas, metástasis"	"Carcinoma, no, cél. pequeñas, metástasis"		
8050/0	"Papiloma, SAI"	"Papiloma, SAI"		
8050/2	Carcinoma papilar in situ	Ca. papilar in situ		
8050/3	"Carcinoma papilar, SAI"	"Ca. papilar, SAI"		
8050/6	"Carcinoma papilar, SAI, metástasis"	"Ca. papilar, SAI, metástasis"		
8051/0	Papiloma verrugoso	Papiloma verrugoso		
8051/3	"Carcinoma verrugoso, SAI"	"Ca. verrugoso, SAI"		
8051/6	"Carcinoma verrugoso, SAI, metástasis"	"Ca. verrugoso, SAI, metástasis"		
8052/0	"Papiloma epidermoide, SAI"	"Papiloma epidermoide, SAI"		
8052/2	Carcinoma papilar epidermoide no invasivo	Ca. papilar epidermoide no invasivo		
8052/3	Carcinoma papilar de células escamosas	"Ca. papilar, cél. escamosas"		
8052/6	"Carcinoma papilar de células escamosas, metástasis"	"Ca. papilar, cél. escamosas, metástasis"		
8053/0	Papiloma de células escamosas invertido	"Papiloma, cél. escamosas invertido"		
8060/0	Papilomatosis escamosa	Papilomatosis escamosa		
8070/2	"Carcinoma epidermoide in situ, SAI"	"Ca. epidermoide in situ, SAI"		
8070/3	"Carcinoma epidermoide, SAI"	"Ca. epidermoide, SAI"		
8070/6	"Carcinoma metastásico de células escamosas, SAI"	"Ca. metastásico, cél. escamosas, SAI"		
8071/3	"Carcinoma epidermoide, tipo queratinizante, SAI"	"Ca. epidermoide, tipo queratinizante, SAI"		
8071/6	"Carcinoma epidermoide, tipo queratinizante, SAI, metástasis"	"Ca. epidermoide, tipo queratinizante, SAI, metástasis"		
8072/3	"Carcinoma epidermoide de células grandes, tipo no queratinizante, SAI"	"Ca. epidermoide, cél. grandes, tipo no queratinizante, SAI"		
8072/6	"Carcinoma epidermoide de células grandes, tipo no queratinizante, SAI, metástasis"	"Ca. epidermoide, cél. grandes, tipo no queratinizante, SAI, metástasis"		
8073/3	"Carcinoma epidermoide de células pequeñas, tipo no queratinizante"	"Ca. epidermoide, cél. pequeñas, tipo no queratinizante"		
8073/6	"Carcinoma epidermoide de células pequeñas, tipo no queratinizante, metástasis"	"Ca. epidermoide, cél. pequeñas, tipo no queratinizante, metástasis"		
8074/3	Carcinoma epidermoide de células fusiformes	"Ca. epidermoide, cél. fusiformes"		
8074/6	"Carcinoma epidermoide de células fusiformes, metástasis"	"Ca. epidermoide, cél. fusiformes, metástasis"		
8075/3	Carcinoma epidermoide seudoglandular 	Ca. epidermoide seudoglandular 		
8075/6	"Carcinoma epidermoide seudoglandular , metástasis"	"Ca. epidermoide seudoglandular , metástasis"		
8076/2	Carcinoma epidermoide in situ con invasión dudosa del estroma	"Ca. epidermoide in situ con invasión dudosa, estroma"		
8076/3	Carcinoma epidermoide microinvasor	Ca. epidermoide microinvasor		
8076/6	"Carcinoma epidermoide microinvasor, metástasis"	"Ca. epidermoide microinvasor, metástasis"		
8077/0	Neoplasia intraepitelial de células escamosas de bajo grado	"Neoplasia intraepitelial, cél. escamosas, bajo grado"		
8077/2	Neoplasia intraepitelial de células escamosas de alto grado	"Neoplasia intraepitelial, cél. escamosas, alto grado"		
8078/3	Carcinoma epidermoide con formación cuerno	Ca. epidermoide con formación cuerno		
8078/6	"Carcinoma epidermoide con formación cuerno, metástasis"	"Ca. epidermoide con formación cuerno, metástasis"		
8080/2	Eritroplasia de Queyrat	"Eritroplasia, Queyrat"		
8081/2	Enfermedad de Bowen	"Enfermedad, Bowen"		
8082/3	Carcinoma linfoepitelial	Ca. linfoepitelial		
8082/6	"Carcinoma linfoepitelial, metástasis"	"Ca. linfoepitelial, metástasis"		
8083/3	Carcinoma basaloide de células escamosas	"Ca. basaloide, cél. escamosas"		
8083/6	"Carcinoma basaloide de células escamosas, metástasis"	"Ca. basaloide, cél. escamosas, metástasis"		
8084/3	"Carcinoma de células escamosas, tipo células claras"	"Carcinoma, cél. escamosas, tipo cél. claras"		
8084/6	"Carcinoma de células escamosas, tipo células claras, metástasis"	"Carcinoma, cél. escamosas, tipo cél. claras, metástasis"		
8090/1	Tumor basocelular	Tum. basocelular		
8090/3	"Carcinoma basocelular, SAI"	"Ca. basocelular, SAI"		
8090/6	"Carcinoma basocelular, SAI, metástasis"	"Ca. basocelular, SAI, metástasis"		
8091/3	Carcinoma basocelular superficial multifocal	Ca. basocelular superficial multifocal		
8091/6	"Carcinoma basocelular superficial multifocal, metástasis"	"Ca. basocelular superficial multifocal, metástasis"		
8092/3	"Carcinoma basocelular infiltrante, SAI"	"Ca. basocelular infiltrante, SAI"		
8092/6	"Carcinoma basocelular infiltrante, SAI, metástasis"	"Ca. basocelular infiltrante, SAI, metástasis"		
8093/3	"Carcinoma basocelular, tipo fibroepitelial"	"Ca. basocelular, tipo fibroepitelial"		
8093/6	"Carcinoma basocelular, tipo fibroepitelial, metástasis"	"Ca. basocelular, tipo fibroepitelial, metástasis"		
8094/3	Carcinoma de células basales y escamosas	"Carcinoma, cél. basales y escamosas"		
8094/6	"Carcinoma de células basales y escamosas, metástasis"	"Carcinoma, cél. basales y escamosas, metástasis"		
8095/3	Carcinoma metatípico	Ca. metatípico		
8095/6	"Carcinoma metatípico, metástasis"	"Ca. metatípico, metástasis"		
8096/0	Epitelioma intraepidérmico de Jadassohn	"Epitelioma intraepidérmico, Jadassohn"		
8097/3	"Carcinoma basocelular, tipo nodular"	"Ca. basocelular, tipo nodular"		
8097/6	"Carcinoma basocelular, tipo nodular, metástasis"	"Ca. basocelular, tipo nodular, metástasis"		
8098/3	Carcinoma basal adenoideo	Carcinoma basal adenoideo		
8098/6	"Carcinoma basal adenoideo, metástasis"	"Carcinoma basal adenoideo, metástasis"		
8100/0	Tricoepitelioma	Tricoepitelioma		
8101/0	Tricofoliculoma	Tricofoliculoma		
8102/0	Tricolemoma	Tricolemoma		
8102/3	Triquilemocarcinoma	Triquilemocarcinoma		
8102/6	"Triquilemocarcinoma, metástasis"	"Triquilemocarcinoma, metástasis"		
8103/0	Tumor proliferante de triquilema	"Tum. proliferante, triquilema"		
8110/0	"Pilomatrixoma, SAI"	"Pilomatrixoma, SAI"		
8110/3	Carcinoma pilomatricial	Ca. pilomatricial		
8110/6	"Carcinoma pilomatricial, metástasis"	"Ca. pilomatricial, metástasis"		
8120/0	"Papiloma de células transicionales, benigno"	"Papiloma, cél. transicionales, benigno"		
8120/1	"Papiloma urotelial, SAI"	"Papiloma urotelial, SAI"		
8120/2	Carcinoma in situ de células transicionales	"Ca. in situ, cél. transicionales"		
8120/3	"Carcinoma de células transicionales, SAI"	"Carcinoma, cél. transicionales, SAI"		
8120/6	"Carcinoma de células transicionales, SAI, metástasis"	"Carcinoma, cél. transicionales, SAI, metástasis"		
8121/0	"Papiloma de Schneider, SAI"	"Papiloma, Schneider, SAI"		
8121/1	"Papiloma de células transicionales, tipo invertido, SAI"	"Papiloma, cél. transicionales, tipo invertido, SAI"		
8121/3	Carcinoma de Schneider	"Carcinoma, Schneider"		
8121/6	"Carcinoma de Schneider, metástasis"	"Carcinoma, Schneider, metástasis"		
8122/3	"Carcinoma de células transicionales, tipo fusocelular"	"Carcinoma, cél. transicionales, tipo fusocelular"		
8122/6	"Carcinoma de células transicionales, tipo fusocelular, metástasis"	"Carcinoma, cél. transicionales, tipo fusocelular, metástasis"		
8123/3	Carcinoma basaloide	Ca. basaloide		
8123/6	"Carcinoma basaloide, metástasis"	"Ca. basaloide, metástasis"		
8124/3	Carcinoma cloacogénico	Ca. cloacogénico		
8124/6	"Carcinoma cloacogénico, metástasis"	"Ca. cloacogénico, metástasis"		
8130/1	Neoplasia papilar de células transicionales de bajo potencial maligno	"Neoplasia papilar, cél. transicionales, bajo potencial maligno"		
8130/2	"Carcinoma papilar de células transicionales, tipo no invasivo "	"Ca. papilar, cél. transicionales, tipo no invasivo "		
8130/3	Carcinoma papilar de células transicionales	"Ca. papilar, cél. transicionales"		
8130/6	"Carcinoma papilar de células transicionales, metástasis"	"Ca. papilar, cél. transicionales, metástasis"		
8131/3	"Carcinoma de células transicionales, micropapilar"	"Carcinoma, cél. transicionales, micropapilar"		
8131/6	"Carcinoma de células transicionales, micropapilar, metástasis"	"Carcinoma, cél. transicionales, micropapilar, metástasis"		
8140/0	"Adenoma, SAI"	"Adenoma, SAI"		
8140/1	Adenoma atípico	Adenoma atípico		
8140/2	"Adenocarcinoma in situ, SAI"	"AdenoCa. in situ, SAI"		
8140/3	"Adenocarcinoma, SAI"	"Adenocarcinoma, SAI"		
8140/6	"Adenocarcinoma metastásico, SAI"	"AdenoCa. metastásico, SAI"		
8141/3	Adenocarcinoma escirro	AdenoCa. escirro		
8141/6	"Adenocarcinoma escirro, metástasis"	"AdenoCa. escirro, metástasis"		
8142/3	Linitis plástica	Linitis plástica		
8142/6	"Linitis plástica, metástasis"	"Linitis plástica, metástasis"		
8143/3	Adenocarcinoma con diseminación superficial	AdenoCa. con diseminación superficial		
8143/6	"Adenocarcinoma con diseminación superficial, metástasis"	"AdenoCa. con diseminación superficial, metástasis"		
8144/3	"Adenocarcinoma, tipo intestinal"	"Adenocarcinoma, tipo intestinal"		
8144/6	"Adenocarcinoma, tipo intestinal, metástasis"	"Adenocarcinoma, tipo intestinal, metástasis"		
8145/3	"Carcinoma, tipo difuso"	"Carcinoma, tipo difuso"		
8145/6	"Carcinoma, tipo difuso, metástasis"	"Carcinoma, tipo difuso, metástasis"		
8146/0	Adenoma monomórfico	Adenoma monomórfico		
8147/0	Adenoma basocelular	Adenoma basocelular		
8147/3	Adenocarcinoma basocelular	AdenoCa. basocelular		
8147/6	"Adenocarcinoma basocelular, metástasis"	"AdenoCa. basocelular, metástasis"		
8148/0	Neoplasia intraepitelial glandular de bajo grado	"Neoplasia intraepitelial glandular, bajo grado"		
8148/2	Neoplasia intraepitelial glandular de alto grado	"Neoplasia intraepitelial glandular, alto grado"		
8149/0	Adenoma canalicular	Adenoma canalicular		
8150/0	Tumor endocrino pancreático benigno	Tum. endocrino pancreático benigno		
8150/1	"Tumor endocrino pancreático, SAI"	"Tum. endocrino pancreático, SAI"		
8150/3	Tumor endocrino pancreático maligno	Tum. endocrino pancreático maligno		
8150/6	"Tumor endocrino pancreático maligno, metástasis"	"Tum. endocrino pancreático maligno, metástasis"		
8151/0	"Insulinoma, SAI"	"Insulinoma, SAI"		
8151/3	Insulinoma maligno	Insulinoma maligno		
8151/6	"Insulinoma maligno, metástasis"	"Insulinoma maligno, metástasis"		
8152/1	"Glucagonoma, SAI"	"Glucagonoma, SAI"		
8152/3	Glucagonoma maligno	Glucagonoma maligno		
8152/6	"Glucagonoma maligno, metástasis"	"Glucagonoma maligno, metástasis"		
8153/1	"Gastrinoma, SAI"	"Gastrinoma, SAI"		
8153/3	Gastrinoma maligno	Gastrinoma maligno		
8153/6	"Gastrinoma maligno, metástasis"	"Gastrinoma maligno, metástasis"		
8154/3	Tumor maligno pancreático mixto de células de los islotes de Langerhans y exocrino	"Tum. maligno pancreático mixto, cél. islotes y exocrino"		
8154/6	"Tumor maligno pancreático mixto de células de los islotes de Langerhans y exocrino, metástasis"	"Tum. maligno pancreático mixto, cél. islotes y exocrino, metástasis"		
8155/1	"Vipoma, SAI"	"Vipoma, SAI"		
8155/3	Vipoma maligno	Vipoma maligno		
8155/6	"Vipoma maligno, metástasis"	"Vipoma maligno, metástasis"		
8156/1	"Somatostatinoma, SAI"	"Somatostatinoma, SAI"		
8156/3	Somatostatinoma maligno	Somatostatinoma maligno		
8156/6	"Somatostatinoma maligno, metástasis"	"Somatostatinoma maligno, metástasis"		
8158/1	"Tumor endocrino funcionante, SAI"	"Tum. endocrino funcionante, SAI"		
8160/0	Adenoma de los conductos biliares	"Adenoma, los conductos biliares"		
8160/3	Colangiocarcinoma	Colangiocarcinoma		
8160/6	"Colangiocarcinoma, metástasis"	"Colangiocarcinoma, metástasis"		
8161/0	Cistadenoma de los conductos biliares	"Cistadenoma, los conductos biliares"		
8161/3	Cistadenocarcinoma de los conductos biliares	"Cistadenocarcinoma, los conductos biliares"		
8161/6	"Cistadenocarcinoma de los conductos biliares, metástasis"	"Cistadenocarcinoma, los conductos biliares, metástasis"		
8162/3	Tumor de Klatskin	"Tumor, Klatskin"		
8162/6	"Tumor de Klatskin, metástasis"	"Tumor, Klatskin, metástasis"		
8163/0	"Neoplasia pancreatobiliar, no invasiva"	"Neoplasia pancreatobiliar, no invasiva"		
8163/2	"Neoplasia papilar de tipo pancreatobiliar, con neoplasia intraepitelial de alto grado"	"Neopl. papilar pancreatobiliar con neopl. intraepitelial, alto grado"		
8163/3	Carcinoma de tipo pancreatobiliar	"Carcinoma, tipo pancreatobiliar"		
8163/6	"Carcinoma de tipo pancreatobiliar, metástasis"	"Carcinoma, tipo pancreatobiliar, metástasis"		
8170/0	Adenoma de células hepáticas	"Adenoma, cél. hepáticas"		
8170/3	"Carcinoma hepatocelular, SAI"	"Ca. hepatocelular, SAI"		
8170/6	"Carcinoma hepatocelular, SAI, metástasis"	"Ca. hepatocelular, SAI, metástasis"		
8171/3	"Carcinoma hepatocelular, tipo fibrolamelar"	"Ca. hepatocelular, tipo fibrolamelar"		
8171/6	"Carcinoma hepatocelular, tipo fibrolamelar, metástasis"	"Ca. hepatocelular, tipo fibrolamelar, metástasis"		
8172/3	Carcinoma hepatocelular escirro	Ca. hepatocelular escirro		
8172/6	"Carcinoma hepatocelular escirro, metástasis"	"Ca. hepatocelular escirro, metástasis"		
8173/3	"Carcinoma hepatocelular, variante fusocelular"	"Ca. hepatocelular, variante fusocelular"		
8173/6	"Carcinoma hepatocelular, variante fusocelular, metástasis"	"Ca. hepatocelular, variante fusocelular, metástasis"		
8174/3	"Carcinoma hepatocelular, variante de células claras"	"Ca. hepatocelular, variante, cél. claras"		
8174/6	"Carcinoma hepatocelular, variante de células claras, metástasis"	"Ca. hepatocelular, variante, cél. claras, metástasis"		
8175/3	"Carcinoma hepatocelular, tipo pleomorfo"	"Ca. hepatocelular, tipo pleomorfo"		
8175/6	"Carcinoma hepatocelular, tipo pleomorfo, metástasis"	"Ca. hepatocelular, tipo pleomorfo, metástasis"		
8180/3	Carcinoma hepatocelular y colangiocarcinoma mixto	Ca. hepatocelular y colangioCa. mixto		
8180/6	"Carcinoma hepatocelular y colangiocarcinoma mixto, metástasis"	"Ca. hepatocelular y colangioCa. mixto, metástasis"		
8190/0	Adenoma trabecular	Adenoma trabecular		
8190/3	Adenocarcinoma trabecular	AdenoCa. trabecular		
8190/6	"Adenocarcinoma trabecular, metástasis"	"AdenoCa. trabecular, metástasis"		
8191/0	Adenoma embrionario	Adenoma embrionario		
8200/0	Cilindroma ecrino dérmico	Cilindroma ecrino dérmico		
8200/3	Carcinoma adenoide quístico	Ca. adenoide quístico		
8200/6	"Carcinoma adenoide quístico, metástasis"	"Ca. adenoide quístico, metástasis"		
8201/2	Carcinoma cribiforme in situ	Ca. cribiforme in situ		
8201/3	"Carcinoma cribiforme, SAI"	"Ca. cribiforme, SAI"		
8201/6	"Carcinoma cribiforme, SAI, metástasis"	"Ca. cribiforme, SAI, metástasis"		
8202/0	Adenoma microquístico	Adenoma microquístico		
8204/0	Adenoma de la lactancia	"Adenoma, la lactancia"		
8210/0	"Pólipo adenomatoso, SAI"	"Pólipo adenomatoso, SAI"		
8210/2	Adenocarcinoma in situ en pólipo adenomatoso	AdenoCa. in situ en pólipo adenomatoso		
8210/3	Adenocarcinoma en pólipo adenomatoso	AdenoCa. en pólipo adenomatoso		
8210/6	"Adenocarcinoma en pólipo adenomatoso, metástasis"	"AdenoCa. en pólipo adenomatoso, metástasis"		
8211/0	"Adenoma tubular, SAI"	"Adenoma tubular, SAI"		
8211/3	Adenocarcinoma tubular	AdenoCa. tubular		
8211/6	"Adenocarcinoma tubular, metástasis"	"AdenoCa. tubular, metástasis"		
8212/0	Adenoma plano	Adenoma plano		
8213/0	Adenoma dentado	Adenoma dentado		
8213/3	Adenocarcinoma dentado	AdenoCa. dentado		
8213/6	"Adenocarcinoma dentado, metástasis"	"AdenoCa. dentado, metástasis"		
8214/3	Carcinoma de células parietales	"Carcinoma, cél. parietales"		
8214/6	"Carcinoma de células parietales, metástasis"	"Carcinoma, cél. parietales, metástasis"		
8215/3	Adenocarcinoma de glándulas anales	"Adenocarcinoma, glándulas anales"		
8215/6	"Adenocarcinoma de glándulas anales, metástasis"	"Adenocarcinoma, glándulas anales, metástasis"		
8220/0	Poliposis adenomatosa del colon	"Poliposis adenomatosa, colon"		
8220/3	Adenocarcinoma en poliposis adenomatosa del colon	"AdenoCa. en poliposis adenomatosa, colon"		
8220/6	"Adenocarcinoma en poliposis adenomatosa del colon, metástasis"	"AdenoCa. en poliposis adenomatosa, colon, metástasis"		
8221/0	Pólipos adenomatosos múltiples 	Pólipos adenomatosos múltiples 		
8221/3	Adenocarcinoma en pólipos adenomatosos múltiples	AdenoCa. en pólipos adenomatosos múltiples		
8221/6	"Adenocarcinoma en pólipos adenomatosos múltiples, metástasis"	"AdenoCa. en pólipos adenomatosos múltiples, metástasis"		
8230/2	"Carcinoma ductal in situ, tipo sólido"	"Ca. ductal in situ, tipo sólido"		
8230/3	"Carcinoma sólido, SAI"	"Ca. sólido, SAI"		
8230/6	"Carcinoma sólido, SAI, metástasis"	"Ca. sólido, SAI, metástasis"		
8231/3	Carcinoma simple	Ca. simple		
8231/6	"Carcinoma simple, metástasis"	"Ca. simple, metástasis"		
8240/1	Tumor carcinoide de potencial maligno incierto	"Tum. carcinoide, potencial maligno incierto"		
8240/3	"Tumor carcinoide, SAI"	"Tum. carcinoide, SAI"		
8240/6	"Tumor carcinoide, SAI, metástasis"	"Tum. carcinoide, SAI, metástasis"		
8241/3	Carcinoide de células enterocromafines	"Carcinoide, cél. enterocromafines"		
8241/6	"Carcinoide de células enterocromafines, metástasis"	"Carcinoide, cél. enterocromafines, metástasis"		
8242/1	Carcinoide de células similares a enterocromafines	"Carcinoide, cél. similares a enterocromafines"		
8242/3	"Carcinoide de células similares a enterocromafines, maligno"	"Carcinoide, cél. similares a enterocromafines, maligno"		
8242/6	"Carcinoide de células similares a enterocromafines, maligno, metástasis"	"Carcinoide, cél. similares a enterocromafines, maligno, metástasis"		
8243/3	Carcinoide de células caliciformes	"Carcinoide, cél. caliciformes"		
8243/6	"Carcinoide de células caliciformes, metástasis"	"Carcinoide, cél. caliciformes, metástasis"		
8244/3	Carcinoma adenoneuroendocrino mixto	Ca. adenoneuroendocrino mixto		
8244/6	"Carcinoma adenoneuroendocrino mixto, metástasis"	"Ca. adenoneuroendocrino mixto, metástasis"		
8245/1	Carcinoide tubular	Carcinoide tubular		
8245/3	Tumor adenocarcinoide	Tum. adenocarcinoide		
8245/6	"Tumor adenocarcinoide, metástasis"	"Tum. adenocarcinoide, metástasis"		
8246/3	"Carcinoma neuroendocrino, SAI"	"Ca. neuroendocrino, SAI"		
8246/6	"Carcinoma neuroendocrino, SAI, metástasis"	"Ca. neuroendocrino, SAI, metástasis"		
8247/3	Carcinoma de células de Merkel	"Carcinoma, cél., Merkel"		
8247/6	"Carcinoma de células de Merkel, metástasis"	"Carcinoma, cél., Merkel, metástasis"		
8248/1	Apudoma	Apudoma		
8249/3	Tumor carcinoide atípico	Tum. carcinoide atípico		
8249/6	"Tumor carcinoide atípico, metástasis"	"Tum. carcinoide atípico, metástasis"		
8250/1	Adenomatosis pulmonar	Adenomatosis pulmonar		
8250/3	"Adenocarcinoma bronquiolo-alveolar, SAI"	"AdenoCa. bronquiolo-alveolar, SAI"		
8250/6	"Adenocarcinoma bronquiolo-alveolar, SAI, metástasis"	"AdenoCa. bronquiolo-alveolar, SAI, metástasis"		
8251/0	Adenoma alveolar	Adenoma alveolar		
8251/3	Adenocarcinoma alveolar	AdenoCa. alveolar		
8251/6	"Adenocarcinoma alveolar, metástasis"	"AdenoCa. alveolar, metástasis"		
8252/3	"Carcinoma bronquiolo-alveolar, no mucinoso"	"Ca. bronquiolo-alveolar, no mucinoso"		
8252/6	"Carcinoma bronquiolo-alveolar, no mucinoso, metástasis"	"Ca. bronquiolo-alveolar, no mucinoso, metástasis"		
8253/3	"Carcinoma bronquiolo-alveolar, mucinoso"	"Ca. bronquiolo-alveolar, mucinoso"		
8253/6	"Carcinoma bronquiolo-alveolar, mucinoso, metástasis"	"Ca. bronquiolo-alveolar, mucinoso, metástasis"		
8254/3	"Carcinoma bronquiolo-alveolar mixto, mucinoso y no mucinoso"	"Ca. bronquiolo-alveolar mixto, mucinoso y no mucinoso"		
8254/6	"Carcinoma bronquiolo-alveolar mixto, mucinoso y no mucinoso, metástasis"	"Ca. bronquiolo-alveolar mixto, mucinoso y no mucinoso, metástasis"		
8255/3	Adenocarcinoma combinado con subtipos mixtos	AdenoCa. combinado con subtipos mixtos		
8255/6	"Adenocarcinoma combinado con subtipos mixtos, metástasis"	"AdenoCa. combinado con subtipos mixtos, metástasis"		
8260/0	"Adenoma papilar, SAI"	"Adenoma papilar, SAI"		
8260/3	"Adenocarcinoma papilar, SAI"	"AdenoCa. papilar, SAI"		
8260/6	"Adenocarcinoma papilar, SAI, metástasis"	"AdenoCa. papilar, SAI, metástasis"		
8261/0	"Adenoma velloso, SAI"	"Adenoma velloso, SAI"		
8261/2	Adenocarcinoma in situ en adenoma velloso	AdenoCa. in situ en adenoma velloso		
8261/3	Adenocarcinoma en adenoma velloso	AdenoCa. en adenoma velloso		
8261/6	"Adenocarcinoma en adenoma velloso, metástasis"	"AdenoCa. en adenoma velloso, metástasis"		
8262/3	Adenocarcinoma velloso	AdenoCa. velloso		
8262/6	"Adenocarcinoma velloso, metástasis"	"AdenoCa. velloso, metástasis"		
8263/0	"Adenoma tubulovelloso, SAI"	"Adenoma tubulovelloso, SAI"		
8263/2	Adenocarcinoma in situ en adenoma tubulovelloso	AdenoCa. in situ en adenoma tubulovelloso		
8263/3	Adenocarcinoma en adenoma tubulovelloso	AdenoCa. en adenoma tubulovelloso		
